Source,Property,Property Value,Material,Operating Condition 1,Operating Condition 1 Value
10.1016/s0167-2991(98)80453-9,C2(+) yield,31.7,"{'Zr', 'Cl', 'Ce', 'W', 'Na'}",reaction operating temperature,800.0
10.1016/j.apcata.2008.03.032,C2(+) yield,31.1,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2008.03.032,C2(+) yield,30.4,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,850.0
10.1016/j.apcata.2018.01.004,C2(+) yield,30.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/s0167-2991(98)80453-9,C2(+) yield,30.0,"{'Zr', 'Mn', 'Cl', 'O', 'W', 'Na'}",reaction operating temperature,
10.1016/s0167-2991(98)80453-9,C2(+) yield,30.0,"{'Zr', 'Mn', 'Cl', 'O', 'Ce', 'W', 'Na'}",reaction operating temperature,
10.1016/j.cherd.2013.12.017,C2(+) yield,30.0,"{'Mg', 'Mo', 'Li', 'Al'}",reaction operating temperature,
10.1016/j.mcat.2024.114340,C2(+) yield,30.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2010.03.015,C2(+) yield,30.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,
10.1016/j.apcata.2010.03.015,C2(+) yield,30.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,
10.1016/j.apcata.2010.03.015,C2(+) yield,30.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,
10.1016/s0167-2991(98)80453-9,C2(+) yield,30.0,"{'Zr', 'Cl', 'O', 'Ce', 'W', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2010.03.015,C2(+) yield,30.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,
10.1016/s0167-2991(98)80453-9,C2(+) yield,30.0,"{'Zr', 'Mn', 'Cl', 'W', 'Na'}",reaction operating temperature,
10.1016/j.apcatb.2021.120948,C2(+) yield,30.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,
10.1016/j.apcata.2014.07.024,C2(+) yield,29.4,"{'Mn', 'O', 'Ce', 'W', 'Si'}",reaction operating temperature,800.0
10.1016/j.apcata.2014.07.024,C2(+) yield,29.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/s0167-2991(98)80453-9,C2(+) yield,28.6,"{'Zr', 'Cl', 'Ce', 'W', 'Na'}",reaction operating temperature,750.0
10.1016/j.fuproc.2022.107352,C2(+) yield,28.6,"{'Li', 'Mn', 'Mg', 'O', 'W'}",reaction operating temperature,850.0
10.1016/j.apcatb.2021.120948,C2(+) yield,28.6,"{'Li', 'Mn', 'Mg', 'O', 'W'}",reaction operating temperature,
10.1016/j.cattod.2020.12.021,C2(+) yield,28.2,"{'Cl', 'Pb', 'O', 'Ti', 'Na'}",reaction operating temperature,750.0
10.1016/j.jcat.2021.04.007,C2(+) yield,28.2,"{'Cl', 'Pb', 'O', 'Ti', 'Na'}",reaction operating temperature,750.0
10.1016/0926-860X(94)80358-7,C2(+) yield,28.2,"{'Cl', 'Pb', 'O', 'Ti', 'Na'}",reaction operating temperature,750.0
10.1039/D0CY00289E,C2(+) yield,28.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/S1003-9953(09)60045-1,C2(+) yield,28.0,"{'Ca', 'O', 'Ti'}",reaction operating temperature,762.5
10.1016/0920-5861(92)80164-I,C2(+) yield,28.0,"{'Li', 'O', 'Ti'}",reaction operating temperature,800.0
10.1016/j.inoche.2018.12.028,C2(+) yield,27.6,"{'O', 'Ce', 'W', 'Ti', 'Na'}",reaction operating temperature,800.0
10.1016/j.inoche.2018.12.028,C2(+) yield,27.6,"{'O', 'Ce', 'W', 'Ti', 'Na'}",reaction operating temperature,800.0
10.1016/j.cattod.2008.02.024,C2(+) yield,27.5,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S0009-2509(00)00121-4,C2(+) yield,27.5,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2005.03.079,C2(+) yield,27.5,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2013.12.004,C2(+) yield,27.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cclet.2019.03.031,C2(+) yield,27.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,850.0
10.1016/j.apcata.2013.12.004,C2(+) yield,27.0,"{'La', 'H', 'Mn', 'O', 'C', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jcat.2020.03.027,C2(+) yield,27.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2021.11.012,C2(+) yield,27.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.cattod.2020.12.021,C2(+) yield,27.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2013.12.004,C2(+) yield,27.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cclet.2019.03.031,C2(+) yield,27.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,850.0
10.1016/j.apcata.2011.06.022,C2(+) yield,27.0,"{'K', 'Mn', 'O', 'W', 'Si'}",reaction operating temperature,882.0
10.1006/jcat.1996.0141,C2(+) yield,27.0,"{'Mg', 'Li', 'O'}",reaction operating temperature,750.0
10.1016/j.apcata.2013.12.004,C2(+) yield,27.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S0926-860X(00)00877-2,C2(+) yield,26.7,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,950.0
10.1016/j.jcat.2024.115414,C2(+) yield,26.4,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1039/C8TA09913H,C2(+) yield,26.3,"{'Br', 'Ba', 'O', 'C'}",reaction operating temperature,800.0
10.1006/jcat.1996.0341,C2(+) yield,26.3,"{'Br', 'La', 'Ba', 'O', 'C'}",reaction operating temperature,800.0
10.1039/D1CY01641E,C2(+) yield,26.2,"{'Li', 'Si', 'O'}",reaction operating temperature,800.0
10.1016/j.jcat.2021.04.007,C2(+) yield,26.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.ces.2024.120119,C2(+) yield,26.0,"{'K', 'S', 'Ti', 'O'}",reaction operating temperature,
10.1016/j.apcata.2007.02.009,C2(+) yield,26.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S0926-860X(00)00877-2,C2(+) yield,26.0,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,950.0
10.1016/j.apcata.2011.06.022,C2(+) yield,26.0,"{'Rb', 'Mn', 'O', 'W', 'Si'}",reaction operating temperature,
10.1016/j.cattod.2020.04.010,C2(+) yield,26.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,850.0
10.1016/j.jechem.2023.12.025,C2(+) yield,26.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1039/D1CY01641E,C2(+) yield,26.0,"{'Ca', 'Li', 'Si', 'O'}",reaction operating temperature,800.0
10.1016/S0926-860X(00)00877-2,C2(+) yield,26.0,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,950.0
10.1016/j.apcatb.2021.120553,C2(+) yield,25.9,"{'Mn', 'Ba', 'O', 'W', 'Ti', 'Na'}",reaction operating temperature,700.0
10.1016/j.cej.2022.141057,C2(+) yield,25.8,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cej.2022.141057,C2(+) yield,25.8,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cej.2022.141057,C2(+) yield,25.8,"{'Al', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/s0167-2991(98)80453-9,C2(+) yield,25.7,"{'Zr', 'Cl', 'Ce', 'W', 'Na'}",reaction operating temperature,
10.1016/j.jechem.2023.12.025,C2(+) yield,25.7,"{'Ca', 'La', 'Sr', 'O', 'Ce'}",reaction operating temperature,800.0
10.1016/0920-5861(95)00039-I,C2(+) yield,25.6,"{'La', 'Li', 'Mn', 'O', 'W', 'Ti'}",reaction operating temperature,770.0
10.1016/j.apcata.2011.06.022,C2(+) yield,25.5,{'K'},reaction operating temperature,
10.1016/j.apcata.2011.06.022,C2(+) yield,25.5,{'Li'},reaction operating temperature,
10.1016/j.apcata.2011.06.022,C2(+) yield,25.5,{'Rb'},reaction operating temperature,
10.1016/j.apcata.2011.06.022,C2(+) yield,25.5,{'Na'},reaction operating temperature,
10.1016/j.arabjc.2023.104598,C2(+) yield,25.42,"{'K', 'Mn', 'O', 'C', 'W', 'Si', 'Na'}",reaction operating temperature,850.0
10.1016/j.arabjc.2023.104598,C2(+) yield,25.42,"{'S', 'C'}",reaction operating temperature,850.0
10.1039/C6CY01879C,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2017.08.019,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2017.08.019,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2008.02.024,C2(+) yield,25.0,{'Li'},reaction operating temperature,
10.1016/j.catcom.2019.05.009,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jcat.2020.03.027,C2(+) yield,25.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2020.12.021,C2(+) yield,25.0,"{'Mg', 'Sr', 'O', 'Ti'}",reaction operating temperature,875.0
10.1016/j.cattod.2020.12.021,C2(+) yield,25.0,"{'Mg', 'Sr', 'O', 'Ti'}",reaction operating temperature,875.0
10.1016/j.ces.2010.08.019,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2020.12.021,C2(+) yield,25.0,"{'Sr', 'Al', 'O', 'Ti'}",reaction operating temperature,875.0
10.1016/j.apcatb.2021.120948,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2020.12.021,C2(+) yield,25.0,"{'Sr', 'Al', 'O', 'Ti'}",reaction operating temperature,875.0
10.1016/j.jcat.2020.03.027,C2(+) yield,25.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jcat.2020.03.027,C2(+) yield,25.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jcat.2021.04.007,C2(+) yield,25.0,"{'Al', 'Mg', 'Sr', 'O', 'Ti'}",reaction operating temperature,875.0
10.1016/j.jcat.2020.03.027,C2(+) yield,25.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cej.2005.12.002,C2(+) yield,25.0,"{'Mg', 'Li', 'O'}",reaction operating temperature,
10.1016/j.apcata.2012.11.029,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.apcata.2012.11.029,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.apcata.2007.02.009,C2(+) yield,25.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.apcata.2007.02.009,C2(+) yield,25.0,"{'La', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.apcata.2012.11.029,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.apcata.2012.11.029,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.apcata.2014.07.024,C2(+) yield,25.0,"{'Sr', 'Al', 'O', 'Ti'}",reaction operating temperature,875.0
10.1016/j.apcata.2018.01.004,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1039/C6CY01879C,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S1003-9953(08)60026-2,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jngse.2014.07.005,C2(+) yield,25.0,"{'Mg', 'Li', 'O'}",reaction operating temperature,
10.1016/j.apcata.2017.07.012,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.cej.2024.149368,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jechem.2018.10.002,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2014.07.024,C2(+) yield,25.0,"{'Mg', 'Sr', 'O', 'Ti'}",reaction operating temperature,875.0
10.1016/j.cattod.2017.08.019,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1039/C5CY01622C,C2(+) yield,25.0,"{'W', 'O', 'Mn', 'Na'}",reaction operating temperature,800.0
10.1016/s0167-2991(98)80453-9,C2(+) yield,25.0,{'C'},reaction operating temperature,700.0
10.1016/j.ces.2024.120119,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1039/D0RA06065H,C2(+) yield,25.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.mcat.2021.111976,C2(+) yield,24.95,"{'Al', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.mcat.2021.111976,C2(+) yield,24.95,"{'Mn', 'O', 'C', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.mcat.2021.111976,C2(+) yield,24.95,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.mcat.2021.111976,C2(+) yield,24.95,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.psep.2021.02.030,C2(+) yield,24.9,"{'Al', 'Mn', 'O', 'W', 'Si', 'Ti', 'Na'}",reaction operating temperature,700.0
10.1016/j.psep.2021.02.030,C2(+) yield,24.9,"{'Al', 'Mn', 'O', 'W', 'Si', 'Ti', 'Na'}",reaction operating temperature,700.0
10.1016/j.psep.2021.02.030,C2(+) yield,24.9,"{'Al', 'Mn', 'O', 'W', 'Si', 'Ti', 'Na'}",reaction operating temperature,700.0
10.1016/j.psep.2021.02.030,C2(+) yield,24.9,"{'Al', 'Mn', 'O', 'W', 'Si', 'Ti', 'Na'}",reaction operating temperature,700.0
10.1016/j.psep.2021.02.030,C2(+) yield,24.86,"{'Mn', 'O', 'W', 'Ti', 'Na'}",reaction operating temperature,
10.1016/j.enconman.2017.10.061,C2(+) yield,24.8,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1039/D1CY02206G,C2(+) yield,24.8,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/S1003-9953(08)60026-2,C2(+) yield,24.8,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1039/D1CY01641E,C2(+) yield,24.7,"{'Ge', 'Li', 'O'}",reaction operating temperature,800.0
10.1016/S0926-860X(97)00073-2,C2(+) yield,24.6,"{'Zr', 'Cl', 'O', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/S0926-860X(00)00877-2,C2(+) yield,24.5,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,950.0
10.1016/j.apcata.2012.11.029,C2(+) yield,24.5,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.apcata.2014.07.024,C2(+) yield,24.5,"{'Mg', 'Sr', 'O', 'Ti'}",reaction operating temperature,850.0
10.1016/0920-5861(90)85032-J,C2(+) yield,24.5,"{'Ca', 'Li', 'O'}",reaction operating temperature,775.0
10.1016/j.jece.2024.112757,C2(+) yield,24.2,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.cattod.2014.01.005,C2(+) yield,24.2,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jece.2024.112757,C2(+) yield,24.2,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,760.0
10.1016/j.ces.2017.09.035,C2(+) yield,24.2,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jece.2024.112757,C2(+) yield,24.2,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2014.07.024,C2(+) yield,24.0,"{'Sr', 'Ba', 'O', 'Ti', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2013.12.004,C2(+) yield,24.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2018.02.023,C2(+) yield,24.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.cattod.2022.05.035,C2(+) yield,24.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.fuel.2008.02.010,C2(+) yield,24.0,"{'Si', 'O', 'Ba', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2013.12.004,C2(+) yield,24.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.fuel.2008.02.010,C2(+) yield,24.0,"{'Si', 'O', 'Ba', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2014.07.024,C2(+) yield,24.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2013.11.059,C2(+) yield,24.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S0009-2509(00)00121-4,C2(+) yield,23.9,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.psep.2021.02.030,C2(+) yield,23.9,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cej.2023.141379,C2(+) yield,23.8,"{'Ca', 'La', 'O', 'Ce'}",reaction operating temperature,650.0
10.1016/j.apcata.2012.11.029,C2(+) yield,23.6,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.cattod.2020.12.021,C2(+) yield,23.6,"{'Br', 'Sn', 'Ba', 'O'}",reaction operating temperature,800.0
10.1016/j.cej.2022.141057,C2(+) yield,23.6,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S2095-4956(15)60280-7,C2(+) yield,23.6,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cej.2023.141379,C2(+) yield,23.6,"{'La', 'Ca', 'Ce', 'O'}",reaction operating temperature,650.0
10.1016/j.cattod.2020.12.021,C2(+) yield,23.6,"{'Br', 'Sn', 'Ba', 'O'}",reaction operating temperature,800.0
10.1016/j.mcat.2019.03.021,C2(+) yield,23.54,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.mcat.2019.03.021,C2(+) yield,23.54,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2011.06.022,C2(+) yield,23.5,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,904.0
10.1016/S0926-860X(00)00877-2,C2(+) yield,23.5,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,950.0
10.1016/S0926-860X(00)00877-2,C2(+) yield,23.5,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,950.0
10.1016/j.mcat.2021.111976,C2(+) yield,23.4,"{'Si', 'O', 'Ti'}",reaction operating temperature,
10.1016/j.fuproc.2022.107352,C2(+) yield,23.2,"{'Mg', 'O', 'Mn', 'Na'}",reaction operating temperature,850.0
10.1016/j.fuproc.2022.107352,C2(+) yield,23.2,"{'Mg', 'O', 'Mn', 'Na'}",reaction operating temperature,850.0
10.1016/j.fuproc.2022.107352,C2(+) yield,23.2,"{'Mg', 'O', 'Mn', 'Na'}",reaction operating temperature,850.0
10.1039/C39870000388,C2(+) yield,23.15,"{'Cl', 'O', 'Mn', 'Na'}",reaction operating temperature,750.0
10.1016/j.apcata.2018.01.004,C2(+) yield,23.1,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.jtice.2011.02.005,C2(+) yield,23.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/0021-9517(90)90193-N,C2(+) yield,23.0,"{'Ni', 'O', 'Ti', 'Na'}",reaction operating temperature,
10.1016/0021-9517(90)90193-N,C2(+) yield,23.0,"{'Li', 'Ni', 'O', 'Ti'}",reaction operating temperature,
10.1016/j.jtice.2011.02.005,C2(+) yield,23.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.catcom.2007.09.026,C2(+) yield,23.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.apcatb.2021.120161,C2(+) yield,22.8,"{'N', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.cattod.2020.12.024,C2(+) yield,22.7,"{'Mn', 'Cl', 'O', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.cattod.2020.12.024,C2(+) yield,22.7,"{'Mn', 'Cl', 'O', 'Si', 'Na'}",reaction operating temperature,750.0
10.1016/j.apcata.2014.07.013,C2(+) yield,22.5,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,810.0
10.1016/s0167-2991(98)80453-9,C2(+) yield,22.5,"{'Zr', 'Mn', 'Cl', 'O', 'W', 'Na'}",reaction operating temperature,
10.1016/S0926-860X(00)00877-2,C2(+) yield,22.5,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,950.0
10.1016/j.cattod.2021.11.012,C2(+) yield,22.5,"{'Ca', 'La', 'O', 'Ce'}",reaction operating temperature,750.0
10.1016/s0167-2991(98)80453-9,C2(+) yield,22.5,"{'Zr', 'Cl', 'O', 'Ce', 'W', 'Na'}",reaction operating temperature,
10.1016/j.ces.2018.09.022,C2(+) yield,22.5,"{'Al', 'La', 'Mg', 'Sr', 'O', 'Si'}",reaction operating temperature,800.0
10.1016/S0920-5861(99)00287-4,C2(+) yield,22.5,"{'Mg', 'Li', 'O'}",reaction operating temperature,
10.1016/j.apcata.2017.10.023,C2(+) yield,22.5,"{'Al', 'La', 'Mg', 'Sr', 'O', 'Si'}",reaction operating temperature,800.0
10.1016/j.apcata.2016.12.018,C2(+) yield,22.5,"{'Al', 'Mg', 'Sr', 'O', 'Si'}",reaction operating temperature,800.0
10.1006/jcat.1998.1965,C2(+) yield,22.4,"{'F', 'Y', 'O', 'Ba'}",reaction operating temperature,
10.1016/0021-9517(88)90234-5,C2(+) yield,22.4,"{'Mg', 'O', 'Na'}",reaction operating temperature,800.0
10.1016/j.cattod.2020.03.048,C2(+) yield,22.09,"{'Mn', 'O', 'W', 'Si', 'Ti', 'Na'}",reaction operating temperature,700.0
10.1016/j.cattod.2020.03.048,C2(+) yield,22.09,"{'Mn', 'O', 'W', 'Si', 'Ti', 'Na'}",reaction operating temperature,
10.1016/j.fuproc.2022.107320,C2(+) yield,22.07,"{'N', 'Mn', 'O', 'S', 'Ti'}",reaction operating temperature,
10.1039/C7RA02616A,C2(+) yield,22.0,"{'La', 'O', 'Ce'}",reaction operating temperature,
10.1016/s0167-2991(98)80462-x,C2(+) yield,22.0,"{'Ca', 'Pb'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,C2(+) yield,22.0,"{'Ca', 'La', 'Li', 'Sr', 'Ba', 'O', 'Fe'}",reaction operating temperature,800.0
10.1016/j.apcata.2013.12.004,C2(+) yield,22.0,"{'Mn', 'O', 'Ce', 'W', 'Si', 'Na'}",reaction operating temperature,765.0
10.1016/j.fuel.2011.08.056,C2(+) yield,22.0,"{'Ca', 'H', 'Pb', 'O', 'P'}",reaction operating temperature,775.0
10.1016/j.jcat.2024.115414,C2(+) yield,22.0,"{'La', 'O'}",reaction operating temperature,
10.1016/j.apcata.2013.12.004,C2(+) yield,22.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,750.0
